"","column_name","eights"
"585","HAP5",8
"586","HAP6",8
"587","HAP7",8
"588","HAP8",8
"589","HAP9",8
"590","HAQ1",88
"591","HAQ2A",8
"592","HAQ2B",8
"593","HAQ2C",8
"594","HAQ2D",8
"595","HAQ2E",8
"596","HAQ2F",8
"597","HAQ2G",8
"598","HAQ2I",8
"599","HAQ2K",8
"600","HAQ2L",8
"601","HAQ3S",88888
"602","HAQ3S",8
"603","HAQ4",88
"604","HAQ5",8
"605","HAQ6",8
"606","HAQ7",NA
"607","HAQ8",8
"608","HAQ9",8
"609","HAQ9",88
"610","HAR1",8
"611","HAR10",888
"612","HAR10",8
"613","HAR11R",888
"614","HAR11R",8
"615","HAR11R",88
"616","HAR12S",8
"617","HAR12S",888
"618","HAR13",8
"619","HAR14",8
"620","HAR15",8
"621","HAR15",888
"622","HAR16",8
"623","HAR17",8
"624","HAR18AS",888
"625","HAR18BS",888
"626","HAR18BS",8
"627","HAR19A",8
"628","HAR19B",8
"629","HAR2",8
"630","HAR2",888
"631","HAR20R",888
"632","HAR20R",88
"633","HAR20R",8
"634","HAR21",8
"635","HAR22",8
"636","HAR23",8
"637","HAR24",8
"638","HAR25",88
"639","HAR25",8
"640","HAR26",8
"641","HAR27",8
"642","HAR28",88
"643","HAR28",8
"644","HAR3",8
"645","HAR4S",8
"646","HAR4S",888
"647","HAR5",888
"648","HAR5",8
"649","HAR6",8
"650","HAR7S",8
"651","HAR7S",8888
"652","HAR8",888
"653","HAR8",8
"654","HAR9",8
"655","HAT10",8
"656","HAT10MET",NA
"657","HAT11S",8888
"658","HAT11S",8
"659","HAT12",8
"660","HAT12MET",NA
"661","HAT13S",8
"662","HAT13S",8888
"663","HAT14",8
"664","HAT14MET",NA
"665","HAT16MET",NA
"666","HAT18",8
"667","HAT19CD",88888
"668","HAT19MET",8
"669","HAT19MET",8888
"670","HAT19MET",2.8
"671","HAT19MET",1.8
"672","HAT1MET",NA
"673","HAT1S",8
"674","HAT1S",8888
"675","HAT2",8
"676","HAT20S",8888
"677","HAT20S",8
"678","HAT21CD",NA
"679","HAT21MET",8
"680","HAT21MET",1.8
"681","HAT22S",8888
"682","HAT22S",8
"683","HAT23CD",NA
"684","HAT23MET",8
"685","HAT23MET",8.5
"686","HAT24S",8
"687","HAT24S",8888
"688","HAT25CD",NA
"689","HAT25MET",8
"690","HAT26S",8888
"691","HAT29",NA
"692","HAT2MET",8
"693","HAT3S",8888
"694","HAT3S",8
"695","HAT4MET",NA
"696","HAT6",8
"697","HAT6MET",NA
"698","HAT7S",8888
"699","HAT7S",8
"700","HAT8",8
"701","HAT8MET",NA
"702","HAT9S",8
"703","HAT9S",8888
"704","HAX11AG",NA
"705","HAX11AH",NA
"706","HAX11AI",NA
"707","HAX11AJ",NA
"708","HAX11AK",NA
"709","HAX11AL",NA
"710","HAX11AM",NA
"711","HAX11AN",NA
"712","HAX11AO",NA
"713","HAX11AP",NA
"714","HAX11AQ",NA
"715","HAX11AR",NA
"716","HAX11AS",NA
"717","HAX11AT",NA
"718","HAX11AU",NA
"719","HAX11AV",NA
"720","HFB1",8
"721","HFB10",8
"722","HFB11",8
"723","HFB11A",8
"724","HFB11B",8
"725","HFB11C",8
"726","HFB11D",8
"727","HFB11E",8
"728","HFB12",8
"729","HFB13",8
"730","HFB14AB",8
"731","HFB14AC",8
"732","HFB14AD",8
"733","HFB14AE",8
"734","HFB14AF",8
"735","HFB14AG",8
"736","HFB14AI",8
"737","HFB14BA",8
"738","HFB14BB",8
"739","HFB14BC",8
"740","HFB14BD",8
"741","HFB14BE",8
"742","HFB14BF",8
"743","HFB14BG",8
"744","HFB14BH",8
"745","HFB16A",88
"746","HFB16B",88
"747","HFB17",8
"748","HFB2",8
"749","HFB3",8
"750","HFB4",8
"751","HFB5",8
"752","HFB6",8
"753","HFB7",8
"754","HFB8",8
"755","HFB9",8
"756","HFF1",8
"757","HFF2R",88
"758","HFF3A",8
"759","HFF3A",888
"760","HFF3B",8
"761","HFF3B",888
"762","HFF3C",888
"763","HFF3C",8
"764","HFF3D",888
"765","HFF3E",888
"766","HFF3F",888
"767","HAB1",8
"768","MAPF12R",8
"769","MAPF14",8
"770","MAPF15",8
"771","MAPF16",8
"772","MAPF17",8
"773","MAPF18S",888
"774","MAPF18S",8
"775","MAPF22",88
"776","MAPF32S",888
"777","MAPF32S",8
"778","MAPF34A",8
"779","MAPF34B",NA
